CuChun,JingChun,ErJiaMi,CuSuan,YiChangYiErChun,ErChangYiErChun,YeTiChanPin,YiJing,FaDianLiang,YiQiYouXiaoQi,ErQiYouXiaoQi,YiErChunQingZuFen,YiErChunZhongZuFen,RanMei
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0,0,0,0,0,0,0,6,0,0,0,0,0,438
0,0,0,0,0,0,0,4,0,0,0,0,0,433
0,0,0,0,0,0,0,8,0,0,0,0,0,432
0,0,0,0,0,0,0,7,0,0,0,0,0,442
0,0,0,0,0,0,0,9,0,0,0,0,0,449
0,0,0,0,0,0,0,19,0,0,0,0,0,428
0,0,0,0,0,0,0,19,0,0,0,0,0,402
0,0,0,0,0,0,0,15,0,0,0,0,0,410
0,0,0,0,0,0,0,17,0,0,0,0,0,652
0,0,0,0,0,0,0,19,1,0,0,0,0,1029
0,0,0,0,0,0,0,23,0,0,0,0,0,1121
0,0,72,0,0,0,67,29,0,0,0,0,0,1305
0,0,335,0,0,0,118,25,0,0,25,0,0,1701
,,,,,,,,,,,,,
581,0,434,144,0,0,75,29,0,0,271,0,0,1764
1216,0,583,714,0,0,99,33,0,0,340,0,0,1529
1173,0,589,1248,0,0,93,33,0,0,345,0,0,1697
1196,0,617,1481,0,0,85,28,0,0,340,0,0,1684
1216,0,645,1476,0,0,88,25,0,0,349,0,0,1619
1215,0,649,1491,0,0,65,29,0,0,348,0,0,1709
1221,0,403,1501,0,0,80,33,0,0,357,0,0,1515
1241,136,269,1492,0,0,89,31,0,0,357,0,0,1551
1259,1009,262,1463,0,0,80,32,0,0,360,0,0,1650
,,,,,,,,,,,,,
1079,1025,341,1499,0,0,118,31,0,0,326,0,0,1563
1092,1041,341,1503,0,0,110,32,0,0,326,0,0,1576
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1114,876,295,1527,0,0,102,32,0,0,333,0,0,1510
1179,796,282,1531,0,0,69,28,0,0,346,0,0,1466
1248,788,395,1522,0,0,60,28,0,0,361,0,0,1442
,,,,,,,,,,,,,
1331,754,313,1438,0,0,69,27,0,0,371,0,0,1583
1344,825,365,1499,0,0,68,28,0,0,374,0,0,1595
1354,864,292,1503,0,0,64,28,0,0,373,0,0,1712
1361,922,261,1498,0,0,51,26,0,0,374,0,0,1593
1356,915,263,1503,0,0,54,27,0,0,373,0,0,1617
1329,907,264,1498,0,0,50,27,0,0,368,0,0,1622
1351,895,263,1503,0,0,55,24,0,0,369,0,0,1659
1330,903,263,1498,0,0,51,26,0,0,367,0,0,1604
1349,920,262,1503,0,0,53,28,0,0,371,0,0,1526
1377,864,264,1501,0,0,58,28,0,0,374,0,0,1603
1371,911,262,1504,0,0,78,28,0,0,375,0,0,1676
1427,899,262,1503,0,0,74,28,0,0,386,0,0,1665
1421,907,264,1502,0,0,80,28,0,0,387,0,0,1629
1366,894,263,1503,0,0,77,29,0,0,374,0,0,1621
1361,889,263,1500,0,0,71,28,0,0,377,0,0,1602
1443,899,261,1500,0,0,77,28,0,0,389,0,0,1560
1375,883,263,1505,0,0,104,28,0,0,377,0,0,1524
1322,900,262,1502,0,0,101,28,0,0,370,0,0,1421
1312,901,258,1503,0,0,115,28,0,0,367,0,0,1438
