粗醇(t),精醇(t),二甲醚(t),醋酸(t),一厂乙二醇(t),二厂乙二醇(t),液体产品(t),乙腈(t),发电量(万度),一期有效气(万Nm3),二期有效气(万Nm3),乙二醇轻组分(t),乙二醇重组分(t),燃煤(t),一期原煤(t),二期原煤(t),下网电量(万kwh),一期用电量(万度),二期用电量(万度),预脱盐水(t),软化水(t),市政污水处理量(m3/d),新城提升泵供水(m3/d),一期酸脱年耗醇,二期酸脱年耗醇
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,6,0,0,0,0,0,438,0,0,23,6.3,17.2,4342,44718,1336,7700,0,0
0,0,0,0,0,0,0,4,0,0,0,0,0,433,0,0,25,6.4,18.1,2426,52730,1726,8801,0,0
0,0,0,0,0,0,0,8,0,0,0,0,0,432,0,0,24,6.1,17.7,1248,41558,2104,7970,0,0
0,0,0,0,0,0,0,7,0,0,0,0,0,442,0,0,24,6.2,17.8,5028,37942,1803,8095,0,0
0,0,0,0,0,0,0,9,0,0,0,0,0,449,0,0,25,6.5,18.1,3232,49497,2388,9805,0,0
0,0,0,0,0,0,0,19,0,0,0,0,0,428,0,0,25,6.8,18.2,0,46278,2556,10451,0,0
0,0,0,0,0,0,0,19,0,0,0,0,0,402,0,0,27,6.8,20,2169,51424,2483,10386,0,0
0,0,0,0,0,0,0,15,0,0,0,0,0,410,0,0,28,6.7,21,3427,43515,2565,10025,0,0
0,0,0,0,0,0,0,17,0,0,0,0,0,652,0,0,45,8.1,36.6,10622,40413,2401,10277,0,0
0,0,0,0,0,0,0,19,1,0,0,0,0,1029,0,0,58,9.4,48.8,13058,31526,2536,10249,0,0
0,0,0,0,0,0,0,23,0,0,0,0,0,1121,0,0,61,11,49.9,7596,44850,2567,11406,0,0
0,0,72,0,0,0,67,29,0,0,0,0,0,1305,0,0,74,17.3,56.5,7787,45968,2806,9984,0,0
0,0,335,0,0,0,118,25,0,0,25,0,0,1701,0,279,98,26.9,70.9,15266,38510,3018,10009,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
581,0,434,144,0,0,75,29,0,0,271,0,0,1764,0,1998,131,39.8,91.3,15876,28011,2865,10031,0,0
1216,0,583,714,0,0,99,33,0,0,340,0,0,1529,0,2354,132,46.1,85.8,18326,31340,0,0,0,0
1173,0,589,1248,0,0,93,33,0,0,345,0,0,1697,0,2333,134,45.6,88.3,16339,30592,1809,10117,0,0
1196,0,617,1481,0,0,85,28,0,0,340,0,0,1684,0,2367,134,44.5,89.1,16229,30756,1346,10666,0,0
1216,0,645,1476,0,0,88,25,0,0,349,0,0,1619,0,2397,134,44.9,89.3,16773,36512,1801,11364,0,0
1215,0,649,1491,0,0,65,29,0,0,348,0,0,1709,9,2387,132,42.6,89.3,15091,34400,992,10615,0,0
1221,0,403,1501,0,0,80,33,0,0,357,0,0,1515,0,2350,130,41.8,87.9,12341,26100,1193,9467,0,0
1241,136,269,1492,0,0,89,31,0,0,357,0,0,1551,0,2337,131,41.7,89.5,14087,22000,1313,8379,0,0
